iter	Passed	Remaining
229	4107285	13750477
230	4124095	13729130
231	4140904	13707820
232	4157641	13686314
233	4174365	13664801
234	4191089	13643333
235	4207847	13622016
236	4224599	13600713
237	4241372	13579521
238	4258144	13558358
239	4274975	13537422
240	4291803	13516511
241	4308517	13495272
242	4325253	13474142
243	4341963	13452969
244	4358681	13431854
245	4375410	13410811
246	4392138	13389797
247	4408854	13368785
248	4425571	13347808
249	4442301	13326903
250	4459094	13306223
251	4475876	13285536
252	4492574	13264636
253	4509266	13243752
254	4525985	13222975
255	4542667	13202128
256	4559366	13181358
257	4576107	13160743
258	4592886	13140267
259	4609595	13119617
260	4626293	13098969
261	4643079	13078597
262	4659956	13058510
263	4676953	13038778
264	4693661	13018268
265	4710482	12998097
266	4727233	12977761
267	4744277	12958249
268	4761187	12938395
269	4778126	12918638
270	4795094	12898981
271	4811844	12878761
272	4828613	12858616
273	4845354	12838421
274	4862225	12818594
275	4878984	12798495
276	4895810	12778594
277	4912591	12758600
278	4929355	12738586
279	4946093	12718525
280	4962863	12698572
281	4979753	12678946
282	4996595	12659218
283	5013334	12639251
284	5030149	12619497
285	5046939	12599702
286	5063689	12579828
287	5080456	12560016
288	5097210	12540196
289	5113949	12520359
290	5130688	12500543
291	5147415	12480719
292	5164158	12460955
293	5180894	12441196
294	5197699	12421620
295	5214450	12401937
296	5231292	12382486
297	5248090	12362950
298	5264832	12343303
299	5281584	12323696
300	5298338	12304114
301	5315057	12284471
302	5331792	12264882
303	5348538	12245337
304	5365260	12225757
305	5382010	12206258
306	5398781	12186826
307	5415571	12167452
308	5432435	12148261
309	5449210	12128888
310	5465972	12109501
